txnDate,txnType,ticker,market,quantity,pricePerUnit,fee,taxWithheld,note
2026-07-15T23:06:00,BUY,SNDK,US,0.0661232,1509.90,0.16,0,Dime! Order (ยอดชำระ 100 USD)
2026-07-15T23:31:00,BUY,SNDK,US,0.0664009,1503.59,0.16,0,Dime! Order (ยอดชำระ 100 USD)
2026-07-16T18:13:00,SELL,GOOGL,US,1,370.87,0.62,0,Dime! Order (ยอดรับ 370.25 USD)
2026-07-17T00:42:00,BUY,SNDK,US,0.0703113,1419.97,0.16,0,Dime! Order (ยอดชำระ 100 USD)
2026-07-22T03:24:48,DIVIDEND,MU,US,1,0.15,0,0.02,ปันผล MU 0.15 USD (ภาษี 0.02 USD)
2026-07-23T17:38:00,BUY,GOOGL,US,1,328.80,0.53,0,Dime! Order (ยอดชำระ 329.33 USD)
2026-07-24T20:36:00,BUY,QQQM,US,0.1510067,284.29,0.07,0,Dime! Order (ยอดชำระ 43 USD)
2026-07-24T20:37:00,BUY,SCHD,US,0.8773258,32.99,0.05,0,Dime! Order (ยอดชำระ 29 USD)
2026-07-24T20:37:00,BUY,SMH,US,0.0261399,573.07,0.02,0,Dime! Order (ยอดชำระ 15 USD)
2026-07-24T20:55:00,BUY,VOO,US,0.0736289,677.99,0.08,0,Dime! Order (ยอดชำระ 50 USD)
2026-07-27T21:07:00,BUY,SNDK,US,0.1138298,1315.64,0.24,0,Dime! Order (ยอดชำระ 150 USD)
2026-08-17T18:07:00,SELL,SNDK,US,0.7192335,1634.33,1.93,0,Dime! Order (ยอดรับ 1173.54 USD)
2026-08-20T21:13:00,BUY,VOO,US,0.1417408,704.38,0.16,0,Dime! Order (ยอดชำระ 100 USD)
2026-08-31T21:40:00,BUY,GOOGL,US,1,338.20,0.54,0,Dime! Order (ยอดชำระ 338.75 USD)
2026-08-31T22:00:00,BUY,SCHD,US,3,34.88,0.17,0,Dime! Order (ยอดชำระ 104.81 USD)
2026-09-01T20:43:00,BUY,VOO,US,0.1356755,700.20,0.00,0,Dime! Order ฟรีค่าคอม (ยอดชำระ 95 USD)
2026-09-02T01:34:00,BUY,QQQM,US,0.0858298,290.80,0.04,0,Dime! Order (ยอดชำระ 25 USD)
2026-09-09T21:21:00,SELL,MU,US,0.3191112,1034.12,0.55,0,Dime! Order (ยอดรับ 329.45 USD)
2026-09-09T22:28:00,BUY,SCHD,US,10,34.15,0.55,0,Dime! Order (ยอดชำระ 342.10 USD)
2026-09-09T22:29:00,BUY,GOOGL,US,1,328.94,0.53,0,Dime! Order (ยอดชำระ 329.47 USD)
2026-09-14T22:12:09,DIVIDEND,GOOGL,US,2,0.22,0,0.06,ปันผล GOOGL 0.44 USD (ภาษี 0.06 USD)
